epoch,io_u_2,io_u_3,loss,lr,sparse_categorical_accuracy,val_io_u_2,val_io_u_3,val_loss,val_sparse_categorical_accuracy
10,0.7578269839286804,0.3322606086730957,0.30389130115509033,1e-04,0.8850484490394592,0.07505251467227936,0.015862731263041496,0.9585228562355042,0.653998613357544
11,0.8423286080360413,0.4709520936012268,0.20561064779758453,1e-04,0.922870397567749,0.6566674709320068,0.06899295747280121,0.43284472823143005,0.8400609493255615
12,0.8634726405143738,0.5094434022903442,0.17994213104248047,1e-04,0.9321363568305969,0.6742690205574036,0.3127308487892151,0.38293880224227905,0.8426880836486816
13,0.8777558207511902,0.5298438668251038,0.16236348450183868,1e-04,0.9381214380264282,0.2930270731449127,0.019413119181990623,8.78321361541748,0.4446701407432556
14,0.8862494826316833,0.5459839701652527,0.15401555597782135,1e-04,0.9416828751564026,0.3409412205219269,0.023849591612815857,7.4889116287231445,0.49378207325935364
15,0.8906835913658142,0.554884135723114,0.1459994614124298,1e-04,0.9436857104301453,0.6529539823532104,0.14649903774261475,0.5367678999900818,0.7800304889678955
16,0.906387209892273,0.5774867534637451,0.12736408412456512,1e-05,0.9500487446784973,0.8943375945091248,0.5789976119995117,0.13553756475448608,0.9453924894332886
17,0.9104501605033875,0.581222414970398,0.12241736054420471,1e-05,0.9515945315361023,0.8951948881149292,0.5837768316268921,0.13541580736637115,0.9458464980125427
18,0.9129804968833923,0.5847241282463074,0.11982739716768265,1e-05,0.9526300430297852,0.8937957882881165,0.5853807330131531,0.13664507865905762,0.9451524019241333
19,0.9146245121955872,0.5867552757263184,0.116828054189682,1e-05,0.9532987475395203,0.8946695327758789,0.5870332717895508,0.13567902147769928,0.9456019997596741
20,0.9148654937744141,0.5892522931098938,0.11713594198226929,1e-05,0.9534167051315308,0.8972054719924927,0.5866893529891968,0.13340981304645538,0.9466384053230286
21,0.916343629360199,0.5918036103248596,0.11496464163064957,1e-05,0.9540226459503174,0.8966681957244873,0.5880720615386963,0.1333155483007431,0.9463409185409546
22,0.9182735085487366,0.5931397676467896,0.11223719269037247,1e-05,0.9547549486160278,0.8976266384124756,0.5879223346710205,0.13413389027118683,0.9468311667442322
23,0.9191657900810242,0.5963687300682068,0.11109718680381775,1e-05,0.9551543593406677,0.8970662951469421,0.5892195105552673,0.1339968740940094,0.9466390609741211
24,0.9207887053489685,0.5992156863212585,0.10826701670885086,1e-06,0.9558991193771362,0.8983250856399536,0.5901843309402466,0.13251586258411407,0.9472717642784119
25,0.9204888343811035,0.5990261435508728,0.10915507376194,1e-06,0.9557074904441833,0.8987292647361755,0.591209888458252,0.132963627576828,0.9474190473556519
26,0.9202601313591003,0.5990237593650818,0.10974328219890594,1e-06,0.9556891918182373,0.8991459608078003,0.5900699496269226,0.13196000456809998,0.9474517107009888
27,0.9212095141410828,0.5984798073768616,0.10863345116376877,1e-06,0.9559893012046814,0.8993344902992249,0.5916491150856018,0.13199877738952637,0.9475386738777161
28,0.9207436442375183,0.5991935729980469,0.10921870917081833,1e-06,0.9558344483375549,0.8995886445045471,0.5924246907234192,0.13214430212974548,0.9476839900016785
29,0.9212622046470642,0.5992699861526489,0.10816697031259537,1e-06,0.9560885429382324,0.899376630783081,0.5923736691474915,0.13230225443840027,0.9476882815361023
30,0.9214802980422974,0.6002447605133057,0.10791928321123123,1e-07,0.9561355710029602,0.8994356989860535,0.5923905968666077,0.13257479667663574,0.9476354718208313
