epoch,io_u,io_u_1,loss,lr,sparse_categorical_accuracy,val_io_u,val_io_u_1,val_loss,val_sparse_categorical_accuracy
10,0.7387896180152893,0.15816740691661835,0.3485507369041443,1e-04,0.8732565641403198,0.7944742441177368,0.2716561555862427,0.27288830280303955,0.9017171859741211
11,0.8201542496681213,0.3281918168067932,0.25985318422317505,1e-04,0.9095121026039124,0.8484395742416382,0.396316796541214,0.23115813732147217,0.919460654258728
12,0.8423884510993958,0.3871505856513977,0.2320002168416977,1e-04,0.9199673533439636,0.8439741134643555,0.382124662399292,0.2156229019165039,0.9217095375061035
13,0.8531149625778198,0.41925033926963806,0.21724697947502136,1e-04,0.9251195788383484,0.8640486001968384,0.4496132731437683,0.18945831060409546,0.9308833479881287
14,0.8613240718841553,0.4472486078739166,0.20585483312606812,1e-04,0.9290485382080078,0.8686358332633972,0.4856630265712738,0.18358756601810455,0.9328930974006653
15,0.864528477191925,0.4665818512439728,0.19793029129505157,1e-04,0.9311131834983826,0.8694049119949341,0.4966053366661072,0.18088483810424805,0.9348795413970947
16,0.8758473992347717,0.4809562563896179,0.18369384109973907,1e-04,0.9355611205101013,0.8517281413078308,0.5008630752563477,0.1939024180173874,0.9253877401351929
17,0.8754993081092834,0.49165797233581543,0.18354696035385132,1e-04,0.9358694553375244,0.876214325428009,0.5031268000602722,0.16902701556682587,0.9361534118652344
18,0.8852916955947876,0.5015722513198853,0.17145197093486786,1e-04,0.9397732019424438,0.868179202079773,0.5140742063522339,0.17646169662475586,0.9352312684059143
19,0.8883636593818665,0.5094577670097351,0.16440296173095703,1e-04,0.9411827921867371,0.8698038458824158,0.5227049589157104,0.16915357112884521,0.9361664056777954
20,0.8878586888313293,0.518053412437439,0.16468849778175354,1e-04,0.9412201046943665,0.8773242831230164,0.5362672209739685,0.15988227725028992,0.9385418891906738
21,0.8870455026626587,0.5251060724258423,0.16316631436347961,1e-04,0.9412038922309875,0.8775253891944885,0.4998554289340973,0.1645434945821762,0.9368911981582642
22,0.9005715847015381,0.5368905663490295,0.14686976373195648,1e-04,0.9464713931083679,0.885270893573761,0.5479711890220642,0.15232627093791962,0.9415228366851807
23,0.8971202969551086,0.5373258590698242,0.1496589034795761,1e-04,0.9452672600746155,0.8840406537055969,0.5315183997154236,0.15422344207763672,0.9404910802841187
24,0.905333399772644,0.550970196723938,0.13871626555919647,1e-04,0.9487227201461792,0.8876285552978516,0.5371171236038208,0.149711012840271,0.9423862099647522
25,0.8994514346122742,0.5473010540008545,0.1448146551847458,1e-04,0.9463617205619812,0.8857680559158325,0.5546322464942932,0.1478508561849594,0.9420985579490662
26,0.9049505591392517,0.5574349761009216,0.13946343958377838,1e-04,0.9487255811691284,0.8915738463401794,0.5453503727912903,0.14672556519508362,0.9438961148262024
27,0.9078670144081116,0.5559962391853333,0.13492169976234436,1e-04,0.9496904015541077,0.8846502900123596,0.5449236035346985,0.15192480385303497,0.9403064250946045
28,0.9044750332832336,0.558983564376831,0.13800786435604095,1e-04,0.9486520290374756,0.8632568717002869,0.48755452036857605,0.18638762831687927,0.932860255241394
29,0.9143057465553284,0.5710245370864868,0.12502574920654297,1e-04,0.9525853991508484,0.8902952075004578,0.5673907995223999,0.14501318335533142,0.9432302713394165
30,0.9108816981315613,0.5715086460113525,0.12801103293895721,1e-04,0.951318085193634,0.887389600276947,0.5592444539070129,0.1448909193277359,0.9427262544631958
31,0.9140998721122742,0.5764543414115906,0.12352491915225983,1e-04,0.952629804611206,0.895393967628479,0.5635766386985779,0.13795536756515503,0.945243239402771
32,0.9191535115242004,0.5848118662834167,0.11733561754226685,1e-04,0.954678475856781,0.8899661302566528,0.5634521245956421,0.14250867068767548,0.9438177347183228
33,0.916409969329834,0.5810016393661499,0.12035951018333435,1e-04,0.9537379145622253,0.8917127251625061,0.5447753667831421,0.142281174659729,0.9437211751937866
34,0.9208409786224365,0.5866209268569946,0.11512019485235214,1e-04,0.9553078413009644,0.8861420154571533,0.5761249661445618,0.14578969776630402,0.9433369040489197
35,0.9264817833900452,0.600897490978241,0.1075029969215393,1e-05,0.9578609466552734,0.8973115086555481,0.5795959234237671,0.13694824278354645,0.946865439414978
36,0.9298413395881653,0.6035149693489075,0.10358390212059021,1e-05,0.9590182304382324,0.8995208740234375,0.5817156434059143,0.13465161621570587,0.947603702545166
37,0.9309382438659668,0.6079704761505127,0.10214170813560486,1e-05,0.9595963358879089,0.8988656997680664,0.5819582939147949,0.13442330062389374,0.9475318789482117
38,0.9322736859321594,0.609555721282959,0.10056263953447342,1e-05,0.9601079225540161,0.9003987312316895,0.5858410596847534,0.1330396682024002,0.9481372237205505
39,0.9333682656288147,0.6115837097167969,0.09890101104974747,1e-05,0.9605529308319092,0.9003544449806213,0.5818122625350952,0.13429485261440277,0.9480662941932678
40,0.9343452453613281,0.6133140325546265,0.097537100315094,1e-05,0.9609050750732422,0.9010840058326721,0.5831324458122253,0.13269631564617157,0.9483638405799866
41,0.9351231455802917,0.6139487624168396,0.09707057476043701,1e-05,0.9612346291542053,0.901102602481842,0.5816927552223206,0.13464821875095367,0.9481781721115112
42,0.9351880550384521,0.6154727935791016,0.09641380608081818,1e-05,0.9613345861434937,0.9010194540023804,0.5841956734657288,0.13449282944202423,0.9483283162117004
43,0.93620365858078,0.6169285774230957,0.09497944265604019,1e-05,0.9617821574211121,0.9017757773399353,0.5866255164146423,0.13452261686325073,0.9486910104751587
44,0.9369326829910278,0.6189960241317749,0.09422330558300018,1e-06,0.9620176553726196,0.9016972184181213,0.586966872215271,0.13524986803531647,0.9486598968505859
45,0.9368324279785156,0.617154061794281,0.09428522735834122,1e-06,0.9619291424751282,0.9019483923912048,0.5866180062294006,0.13459394872188568,0.948694109916687
46,0.9374305009841919,0.6206257343292236,0.09370788931846619,1e-06,0.9621846675872803,0.9019718766212463,0.5845270156860352,0.1342562735080719,0.9486337304115295
47,0.9373657703399658,0.6199122667312622,0.09328336268663406,1e-07,0.9622564315795898,0.9020406007766724,0.5864818096160889,0.13492286205291748,0.948667049407959
48,0.9372483491897583,0.6201472878456116,0.09330339729785919,1e-07,0.9621671438217163,0.902009904384613,0.5856701135635376,0.13482005894184113,0.9487206935882568
49,0.9374281167984009,0.6191084980964661,0.09346789121627808,1e-07,0.9621315598487854,0.902012825012207,0.5875800848007202,0.13538414239883423,0.9487396478652954
