epoch,io_u_2,io_u_3,loss,lr,sparse_categorical_accuracy,val_io_u_2,val_io_u_3,val_loss,val_sparse_categorical_accuracy
10,0.785020112991333,0.3781983554363251,0.2841303050518036,1e-04,0.9014742970466614,0.8265408277511597,0.4035962224006653,0.23371067643165588,0.9177532196044922
11,0.8427727818489075,0.4317152798175812,0.22111190855503082,1e-04,0.9243685603141785,0.8536180853843689,0.45091909170150757,0.20526471734046936,0.9298674464225769
12,0.8652652502059937,0.45817825198173523,0.1958366334438324,1e-04,0.9334979057312012,0.8706555962562561,0.44537824392318726,0.18559731543064117,0.93561851978302
13,0.878811240196228,0.47373339533805847,0.18079423904418945,1e-04,0.9389340281486511,0.870557963848114,0.4787161946296692,0.17972332239151,0.936889111995697
14,0.888446569442749,0.4808776080608368,0.1713150590658188,1e-04,0.9424475431442261,0.870262861251831,0.4772195816040039,0.18079441785812378,0.9374443292617798
15,0.8993678689002991,0.49313923716545105,0.1578144133090973,1e-04,0.9467987418174744,0.8976120352745056,0.4943981468677521,0.15331776440143585,0.9470311403274536
16,0.9102031588554382,0.5086975693702698,0.14649617671966553,1e-04,0.9510982036590576,0.8985816240310669,0.5123792290687561,0.14784212410449982,0.9478555917739868
17,0.9119722247123718,0.5106312036514282,0.14358042180538177,1e-04,0.9518311023712158,0.9010337591171265,0.5094847083091736,0.15346504747867584,0.9475799798965454
18,0.9192783832550049,0.5172222852706909,0.1346101462841034,1e-04,0.9545078277587891,0.8998090624809265,0.5175701379776001,0.14989416301250458,0.9483485817909241
19,0.9228090047836304,0.5213674306869507,0.12959851324558258,1e-04,0.9559374451637268,0.9022683501243591,0.48089081048965454,0.15008661150932312,0.9475623369216919
20,0.9437000751495361,0.5463191270828247,0.10699883848428726,1e-05,0.9639042615890503,0.9219570159912109,0.5335116982460022,0.12664258480072021,0.9565693736076355
21,0.9503917098045349,0.5542661547660828,0.09909527748823166,1e-05,0.9664577841758728,0.9241667985916138,0.5377773642539978,0.12421910464763641,0.9574965238571167
22,0.953338086605072,0.5570224523544312,0.09502843022346497,1e-05,0.967573881149292,0.9247074723243713,0.5384520292282104,0.12428291887044907,0.9577469229698181
23,0.9558075070381165,0.561065673828125,0.09278211742639542,1e-05,0.9685161113739014,0.9251936674118042,0.5376796722412109,0.12382680177688599,0.9578707218170166
24,0.9578301310539246,0.5629967451095581,0.08950527012348175,1e-05,0.9693517088890076,0.9265472888946533,0.5359544157981873,0.12294746190309525,0.9583823680877686
25,0.9594990015029907,0.5652307868003845,0.08787738531827927,1e-05,0.969911515712738,0.9270659685134888,0.5387717485427856,0.12543633580207825,0.9585290551185608
26,0.9616355299949646,0.5682188272476196,0.08537086099386215,1e-05,0.9707542061805725,0.9273961186408997,0.5416727662086487,0.12224488705396652,0.9588607549667358
27,0.9630753397941589,0.5684816837310791,0.08400169014930725,1e-05,0.9712777137756348,0.9268568158149719,0.5434170365333557,0.12526535987854004,0.958748996257782
28,0.9646807312965393,0.571294903755188,0.08186700195074081,1e-05,0.9719045758247375,0.9273290038108826,0.5456573963165283,0.12671402096748352,0.9589054584503174
29,0.9657745361328125,0.5736965537071228,0.08014988154172897,1e-05,0.9723973870277405,0.9285697340965271,0.5497813820838928,0.12637320160865784,0.9593983888626099
30,0.9686956405639648,0.5766555666923523,0.07712052017450333,1e-06,0.9733920693397522,0.9289413690567017,0.5453450679779053,0.12708428502082825,0.9594325423240662
31,0.9694119095802307,0.5764765739440918,0.07639805972576141,1e-06,0.9736649394035339,0.9287359118461609,0.5451838374137878,0.12769581377506256,0.9593805074691772
32,0.9690244793891907,0.5774373412132263,0.07630003988742828,1e-06,0.9735614061355591,0.9290872812271118,0.546866774559021,0.12706217169761658,0.9594817757606506
33,0.9696471691131592,0.5790969729423523,0.07563019543886185,1e-07,0.9738406538963318,0.929115355014801,0.5471582412719727,0.12657597661018372,0.959525465965271
34,0.9701166749000549,0.575955867767334,0.07560836523771286,1e-07,0.9738374352455139,0.9289364814758301,0.5470589399337769,0.12717768549919128,0.9594762921333313
35,0.9695311188697815,0.5779320597648621,0.07583252340555191,1e-07,0.9737570881843567,0.9289334416389465,0.546143114566803,0.1272805631160736,0.9594550132751465
36,0.970055341720581,0.5767562985420227,0.07563067227602005,1e-08,0.9738833904266357,0.9289544820785522,0.5454910397529602,0.12715013325214386,0.9594510793685913
