epoch,io_u,io_u_1,loss,lr,sparse_categorical_accuracy,val_io_u,val_io_u_1,val_loss,val_sparse_categorical_accuracy
10,0.756068229675293,0.27164191007614136,0.322238951921463,1e-04,0.882709264755249,0.06831251084804535,0.11242992430925369,0.8848540186882019,0.6536799669265747
11,0.8371603488922119,0.4209514260292053,0.22776062786579132,1e-04,0.9192742109298706,0.7171695828437805,0.3029778003692627,0.3455864489078522,0.8656998872756958
12,0.8581416010856628,0.4702020585536957,0.2030683308839798,1e-04,0.9286697506904602,0.7241648435592651,0.3425324261188507,0.3272339403629303,0.8668045997619629
13,0.8726845979690552,0.493670791387558,0.18517574667930603,1e-04,0.9349303841590881,0.8493842482566833,0.4661136269569397,0.1925530731678009,0.9260967373847961
14,0.8771078586578369,0.5113073587417603,0.17799116671085358,1e-04,0.9371547102928162,0.4277852773666382,0.03093716688454151,78.9073257446289,0.4599973261356354
15,0.8842635154724121,0.5225109457969666,0.1685566008090973,1e-04,0.9401829838752747,0.45356330275535583,0.04658171907067299,43.44738006591797,0.6167941093444824
16,0.8925837874412537,0.5360957384109497,0.15653914213180542,1e-04,0.9436182379722595,0.4111301898956299,0.024754278361797333,2243.90380859375,0.6381339430809021
17,0.9066737294197083,0.5562397241592407,0.1421545296907425,1e-05,0.9493106603622437,0.6880221366882324,0.24402227997779846,53.656253814697266,0.849098265171051
18,0.911612868309021,0.5637296438217163,0.13590139150619507,1e-05,0.9513857960700989,0.8812017440795898,0.5156984925270081,0.15908795595169067,0.9390366077423096
19,0.913944661617279,0.5665969252586365,0.1323145627975464,1e-05,0.9523251056671143,0.8891574144363403,0.5484606027603149,0.14868387579917908,0.9432772994041443
20,0.9148389101028442,0.5714669227600098,0.13128036260604858,1e-05,0.9527716040611267,0.8907402157783508,0.5477481484413147,0.14808210730552673,0.9434970021247864
21,0.9172167778015137,0.5732152462005615,0.1292531043291092,1e-05,0.9536520838737488,0.8901493549346924,0.5508930087089539,0.14766861498355865,0.9435043334960938
22,0.9181617498397827,0.575733482837677,0.12699493765830994,1e-05,0.954118013381958,0.8913697600364685,0.5516127347946167,0.14660143852233887,0.9437887072563171
23,0.9195635914802551,0.5782826542854309,0.12600858509540558,1e-05,0.9546571373939514,0.8927438855171204,0.5464649796485901,0.1458623707294464,0.9440880417823792
24,0.9207707047462463,0.5796268582344055,0.1230352446436882,1e-05,0.9552030563354492,0.8927943706512451,0.5493218898773193,0.14534251391887665,0.9445406198501587
25,0.9222873449325562,0.5824574828147888,0.1219782903790474,1e-05,0.955745279788971,0.893690824508667,0.5532426834106445,0.14473865926265717,0.9446243643760681
26,0.922272264957428,0.5856871604919434,0.122293621301651,1e-05,0.9559322595596313,0.8935544490814209,0.5512421727180481,0.14565521478652954,0.9446381330490112
27,0.9239426255226135,0.5852782130241394,0.11982204020023346,1e-05,0.9564529657363892,0.8854116201400757,0.5371137857437134,0.15457016229629517,0.9411831498146057
28,0.924287736415863,0.5869404077529907,0.11983870714902878,1e-05,0.9566593766212463,0.8935368657112122,0.5554620623588562,0.14485885202884674,0.9448405504226685
29,0.9256794452667236,0.5904252529144287,0.11658044159412384,1e-06,0.957316517829895,0.8961225748062134,0.5607993602752686,0.14251653850078583,0.9457751512527466
30,0.9258486032485962,0.5900821089744568,0.11742041260004044,1e-06,0.9572698473930359,0.8958650231361389,0.5621185898780823,0.14289042353630066,0.9457513689994812
31,0.926335334777832,0.590733528137207,0.11589282751083374,1e-06,0.9574685096740723,0.8962863683700562,0.5614782571792603,0.14244875311851501,0.9458845257759094
32,0.9269485473632812,0.5911974310874939,0.11503923684358597,1e-06,0.9576853513717651,0.8965868353843689,0.5603976845741272,0.14244118332862854,0.9459333419799805
33,0.9269515872001648,0.592162549495697,0.11517484486103058,1e-07,0.957777738571167,0.8968878388404846,0.5606783032417297,0.14222495257854462,0.9460231065750122
34,0.9269133806228638,0.5900470614433289,0.11551404744386673,1e-07,0.9575727581977844,0.8965150117874146,0.5613800287246704,0.14228303730487823,0.9460012912750244
35,0.9267306327819824,0.5915968418121338,0.11524748057126999,1e-07,0.9577018618583679,0.8964475989341736,0.5590263605117798,0.1428825855255127,0.9459120035171509
36,0.9268295168876648,0.590670645236969,0.11557966470718384,1e-07,0.9576164484024048,0.8966984152793884,0.5609081387519836,0.1423172801733017,0.9460138082504272
37,0.9261422753334045,0.5916962623596191,0.11654535681009293,1e-08,0.9574408531188965,0.896767258644104,0.5579873323440552,0.14278684556484222,0.9459397196769714
38,0.9265810251235962,0.5906344652175903,0.11654510349035263,1e-08,0.9575366973876953,0.8965997099876404,0.5592660903930664,0.1424161195755005,0.9459527730941772
39,0.9270420074462891,0.5924279689788818,0.11510343104600906,1e-08,0.9577946066856384,0.8966220617294312,0.5611812472343445,0.14266780018806458,0.9460079669952393
40,0.9266668558120728,0.5912536978721619,0.1157141625881195,1e-09,0.9575663208961487,0.8965499401092529,0.5582121014595032,0.142653226852417,0.945921778678894
41,0.9263542294502258,0.59063321352005,0.11680424213409424,1e-09,0.9574762582778931,0.8963767290115356,0.5563328266143799,0.14299015700817108,0.945827066898346
42,0.9262988567352295,0.5904788970947266,0.1161574050784111,1e-09,0.9574515223503113,0.896659791469574,0.561783492565155,0.14227236807346344,0.946043848991394
43,0.9263595938682556,0.5910069346427917,0.1160636842250824,9.9999994e-11,0.9575890302658081,0.8963191509246826,0.5573718547821045,0.14314690232276917,0.9458370804786682
