epoch,io_u,io_u_1,loss,lr,sparse_categorical_accuracy,val_io_u,val_io_u_1,val_loss,val_sparse_categorical_accuracy
0,0.6614516973495483,0.1698552668094635,0.4507237672805786,1e-04,0.839612603187561,0.7592355608940125,0.25985977053642273,0.31900906562805176,0.884488582611084
1,0.7435135841369629,0.25620636343955994,0.34485122561454773,1e-04,0.8786941766738892,0.7642190456390381,0.32884103059768677,0.3092672824859619,0.8897404074668884
2,0.7808747887611389,0.3150723874568939,0.3018752634525299,1e-04,0.8961277008056641,0.8028074502944946,0.3160569369792938,0.2674514949321747,0.9053884148597717
3,0.7977004051208496,0.3438466489315033,0.2769451439380646,1e-04,0.9036708474159241,0.8012648820877075,0.37894099950790405,0.25691357254981995,0.9070176482200623
4,0.8124622106552124,0.36424142122268677,0.26218101382255554,1e-04,0.9102135300636292,0.8202093243598938,0.41396456956863403,0.24026328325271606,0.914518415927887
5,0.8248575925827026,0.38584715127944946,0.24617037177085876,1e-04,0.915800929069519,0.8428690433502197,0.3872402012348175,0.22328321635723114,0.9226097464561462
6,0.8384414315223694,0.39863860607147217,0.23247285187244415,1e-04,0.921301007270813,0.8366554379463196,0.4138506054878235,0.22892558574676514,0.9218162894248962
7,0.8411585688591003,0.4053424298763275,0.22784581780433655,1e-04,0.9226491451263428,0.8487499356269836,0.4355349838733673,0.22024674713611603,0.9245713949203491
8,0.8530259132385254,0.42245590686798096,0.21428540349006653,1e-04,0.9275781512260437,0.8491103649139404,0.45733383297920227,0.20867666602134705,0.9272708296775818
9,0.8588399291038513,0.42959511280059814,0.20670761168003082,1e-04,0.9298864603042603,0.8557054400444031,0.4184170663356781,0.20851457118988037,0.9283849596977234
10,0.863376796245575,0.43576478958129883,0.20174390077590942,1e-04,0.9317763447761536,0.8514326810836792,0.4235536456108093,0.20661422610282898,0.928249716758728
11,0.8692803382873535,0.44273772835731506,0.19556212425231934,1e-04,0.9342462420463562,0.858691930770874,0.4436846375465393,0.20073983073234558,0.9301705360412598
12,0.8748499155044556,0.4490731656551361,0.1886640191078186,1e-04,0.9364364743232727,0.8628074526786804,0.45839786529541016,0.19330017268657684,0.9321520328521729
13,0.8781757354736328,0.4527258276939392,0.18591363728046417,1e-04,0.9377186894416809,0.8613227605819702,0.36084961891174316,0.2070630043745041,0.929495096206665
14,0.8783227205276489,0.456973671913147,0.1818765103816986,1e-04,0.9381085634231567,0.8754730820655823,0.467035174369812,0.1812507063150406,0.93758624792099
15,0.8838178515434265,0.46492815017700195,0.17739640176296234,1e-04,0.9401963353157043,0.8725568652153015,0.46801069378852844,0.18333564698696136,0.9364644885063171
16,0.8915785551071167,0.4697452783584595,0.16923145949840546,1e-04,0.9431698322296143,0.8730631470680237,0.4712986350059509,0.18157559633255005,0.937527596950531
17,0.8918313980102539,0.4727243483066559,0.1670306921005249,1e-04,0.9433807730674744,0.882848858833313,0.4615021049976349,0.173661470413208,0.9407855868339539
18,0.8911397457122803,0.4761783480644226,0.16695164144039154,1e-04,0.9433392286300659,0.8624940514564514,0.4772365987300873,0.19210362434387207,0.9330474138259888
19,0.8947941660881042,0.47623035311698914,0.1642845720052719,1e-04,0.944663941860199,0.8754546642303467,0.4689565598964691,0.18740718066692352,0.9371377229690552
20,0.9017354846000671,0.48590123653411865,0.15521405637264252,1e-04,0.9472914338111877,0.8780383467674255,0.46353355050086975,0.17797668278217316,0.9392902851104736
21,0.9206600189208984,0.5097578763961792,0.13401998579502106,1e-05,0.9547730088233948,0.9016552567481995,0.500098705291748,0.15156406164169312,0.9483118653297424
22,0.9274073243141174,0.5167292952537537,0.12711201608181,1e-05,0.9572909474372864,0.9016385674476624,0.5055519938468933,0.1506081223487854,0.9484561681747437
23,0.9285517334938049,0.5189363360404968,0.12514223158359528,1e-05,0.9578445553779602,0.9018102288246155,0.4963172674179077,0.15069052577018738,0.9485002160072327
24,0.9304092526435852,0.5192983150482178,0.12424067407846451,1e-05,0.9583607316017151,0.9019304513931274,0.5088004469871521,0.15068981051445007,0.9486860036849976
25,0.9307298064231873,0.5218799710273743,0.12249021977186203,1e-05,0.9587048888206482,0.9050377011299133,0.506216287612915,0.1479741781949997,0.9497606158256531
26,0.9334408044815063,0.5218337178230286,0.12068749964237213,1e-05,0.9595227241516113,0.9048870801925659,0.49553003907203674,0.14860162138938904,0.9495303630828857
27,0.932673454284668,0.525232195854187,0.12034539878368378,1e-05,0.9594137072563171,0.9061864018440247,0.5031404495239258,0.14755868911743164,0.9499536752700806
28,0.9349732398986816,0.525213360786438,0.11833895742893219,1e-05,0.9601866602897644,0.906355619430542,0.5129208564758301,0.14624005556106567,0.9502992033958435
29,0.935833752155304,0.5268617272377014,0.11724986135959625,1e-05,0.9605410099029541,0.9067367911338806,0.513528048992157,0.14573334157466888,0.9505057334899902
30,0.9368854761123657,0.5284631848335266,0.11595820635557175,1e-05,0.9609304666519165,0.9071780443191528,0.5104495882987976,0.14604678750038147,0.9505139589309692
31,0.9383493661880493,0.528633177280426,0.11465872079133987,1e-05,0.9614909291267395,0.9068432450294495,0.5133789777755737,0.14462456107139587,0.9505704045295715
32,0.9382520914077759,0.529166042804718,0.11426065117120743,1e-05,0.9614191055297852,0.9073103070259094,0.5112116932868958,0.14613917469978333,0.9506498575210571
33,0.9387270212173462,0.5299916863441467,0.11345510184764862,1e-05,0.961752712726593,0.9054239988327026,0.4997117221355438,0.14702142775058746,0.9496029615402222
34,0.9403712153434753,0.5326222777366638,0.11213110387325287,1e-05,0.9622649550437927,0.9055532813072205,0.512039065361023,0.147576704621315,0.950035572052002
35,0.9429507255554199,0.5313002467155457,0.10927607119083405,1e-06,0.9631239771842957,0.9078999757766724,0.5123053789138794,0.14483289420604706,0.9509730935096741
36,0.9423213005065918,0.5342504978179932,0.10978243499994278,1e-06,0.9629344940185547,0.9083305597305298,0.5110709071159363,0.14426663517951965,0.9511114954948425
37,0.9431504607200623,0.533915638923645,0.10821818560361862,1e-06,0.9633361101150513,0.9084413647651672,0.5124337673187256,0.1446298360824585,0.9511512517929077
38,0.9425682425498962,0.5350884795188904,0.10867751389741898,1e-06,0.9631456136703491,0.9090462327003479,0.512759268283844,0.14363113045692444,0.9513343572616577
39,0.9439866542816162,0.5341057181358337,0.10821199417114258,1e-06,0.9634830355644226,0.9084855914115906,0.5115869045257568,0.14473892748355865,0.95116126537323
40,0.9433546662330627,0.5352790951728821,0.10804878920316696,1e-06,0.9634435176849365,0.909088671207428,0.5135959982872009,0.14398129284381866,0.9514007568359375
41,0.9431270360946655,0.5335749387741089,0.10892871767282486,1e-06,0.9633499979972839,0.908952534198761,0.5140765905380249,0.14417502284049988,0.951319694519043
42,0.942979097366333,0.5360984206199646,0.10855170339345932,1e-07,0.9632852673530579,0.9087777733802795,0.5150315761566162,0.14450512826442719,0.9513238668441772
43,0.9435961842536926,0.5351830124855042,0.10829978436231613,1e-07,0.9634235501289368,0.909074068069458,0.5112243294715881,0.14379869401454926,0.9513372182846069
44,0.9440210461616516,0.5337689518928528,0.10749610513448715,1e-07,0.9636030197143555,0.9088670015335083,0.5109736323356628,0.14389054477214813,0.9512822031974792
45,0.9438004493713379,0.5340959429740906,0.10808278620243073,1e-08,0.9635408520698547,0.9090207815170288,0.5128929018974304,0.14421996474266052,0.9513322710990906
46,0.9433211088180542,0.5365143418312073,0.1080675721168518,1e-08,0.9633899927139282,0.908932626247406,0.5133174657821655,0.1442478597164154,0.9513442516326904
47,0.942810595035553,0.5345972180366516,0.10899101942777634,1e-08,0.963247537612915,0.9089353680610657,0.5128845572471619,0.14386701583862305,0.9513830542564392
48,0.9437447786331177,0.5346562266349792,0.10857409238815308,1e-09,0.9634773135185242,0.9088471531867981,0.510327160358429,0.1436672806739807,0.9512823224067688
