epoch,io_u,io_u_1,loss,lr,sparse_categorical_accuracy,val_io_u,val_io_u_1,val_loss,val_sparse_categorical_accuracy
10,0.7262413501739502,0.19429536163806915,0.3609091639518738,1e-04,0.8678922057151794,0.0002816702763084322,0.07863043248653412,1.2310465574264526,0.6297017931938171
11,0.8059455752372742,0.3296965956687927,0.2686093747615814,1e-04,0.9041939973831177,0.41732338070869446,0.23265120387077332,0.5708678960800171,0.7735763788223267
12,0.8335166573524475,0.37924546003341675,0.23857201635837555,1e-04,0.9162651300430298,0.7828245759010315,0.28317511081695557,0.2841726541519165,0.89512699842453
13,0.845528781414032,0.402847021818161,0.22301743924617767,1e-04,0.9216620326042175,0.8104511499404907,0.38184231519699097,0.24048708379268646,0.9096505641937256
14,0.8549000024795532,0.4275054931640625,0.21011334657669067,1e-04,0.9259538054466248,0.6899076700210571,0.37561339139938354,0.3319360613822937,0.8688322901725769
15,0.861461341381073,0.4424889385700226,0.20131023228168488,1e-04,0.929058313369751,0.8310436010360718,0.430927038192749,0.22417454421520233,0.9169934391975403
16,0.8724951148033142,0.45834797620773315,0.18708443641662598,1e-04,0.9335761666297913,0.8244863748550415,0.44166240096092224,0.21411487460136414,0.9183242917060852
17,0.8753039836883545,0.46989017724990845,0.183622807264328,1e-04,0.9350787401199341,0.7656082510948181,0.42578843235969543,0.28819283843040466,0.882490873336792
18,0.8821730017662048,0.48026037216186523,0.1737833321094513,1e-04,0.9380092024803162,0.8177245259284973,0.46565744280815125,0.22117577493190765,0.9149594902992249
19,0.8862147331237793,0.4878261983394623,0.16787415742874146,1e-04,0.9396487474441528,0.6141848564147949,0.3296529948711395,0.44647714495658875,0.8218224048614502
20,0.8994212746620178,0.5024669766426086,0.1542319357395172,1e-05,0.9449023604393005,0.8769413232803345,0.5007364749908447,0.16487091779708862,0.9369650483131409
21,0.902652382850647,0.5109846591949463,0.15062107145786285,1e-05,0.9464028477668762,0.8818601965904236,0.506294846534729,0.16008959710597992,0.9387030601501465
22,0.9059969186782837,0.514565110206604,0.14494767785072327,1e-05,0.9477160573005676,0.8808103203773499,0.5085828900337219,0.1602812260389328,0.9385361671447754
23,0.9077882170677185,0.5195947289466858,0.14431700110435486,1e-05,0.9485466480255127,0.8829036951065063,0.5057673454284668,0.1587458699941635,0.9391697645187378
24,0.9083048701286316,0.5211922526359558,0.1412617564201355,1e-05,0.948855996131897,0.88358473777771,0.5095392465591431,0.15726912021636963,0.9398627281188965
25,0.9097149968147278,0.5231993198394775,0.14074696600437164,1e-05,0.9493251442909241,0.8814363479614258,0.5101636052131653,0.15867549180984497,0.9386123418807983
26,0.9107235670089722,0.5247288346290588,0.14075472950935364,1e-05,0.9498361945152283,0.8831467628479004,0.5080202221870422,0.15810249745845795,0.9394620060920715
27,0.9116350412368774,0.5273503065109253,0.13824214041233063,1e-05,0.9501837491989136,0.8821316957473755,0.5113981366157532,0.15937988460063934,0.9391331672668457
28,0.9117432832717896,0.5286033749580383,0.1383455991744995,1e-06,0.9503183960914612,0.8842331767082214,0.5145066380500793,0.1564115434885025,0.9400587677955627
29,0.9130150675773621,0.5281800627708435,0.13632716238498688,1e-06,0.9508025050163269,0.884347677230835,0.5144218802452087,0.15621373057365417,0.9400876760482788
30,0.9133635759353638,0.5290798544883728,0.1367529183626175,1e-06,0.9508770108222961,0.884289026260376,0.5153968334197998,0.15629905462265015,0.9401035904884338
31,0.9141035676002502,0.5283377766609192,0.1348729133605957,1e-06,0.9511574506759644,0.8841486573219299,0.5150921940803528,0.15639959275722504,0.9400509595870972
32,0.9149746298789978,0.5300633907318115,0.1336192935705185,1e-06,0.9514922499656677,0.8843565583229065,0.514355480670929,0.15631800889968872,0.9400637149810791
33,0.9139602780342102,0.5303179025650024,0.13498497009277344,1e-07,0.9511919617652893,0.884471595287323,0.5151917338371277,0.1562732607126236,0.9401446580886841
34,0.9139962792396545,0.5286130309104919,0.1358972042798996,1e-07,0.9510213136672974,0.8842898011207581,0.5151750445365906,0.1562678962945938,0.9401274919509888
35,0.9137547612190247,0.5307314991950989,0.13498125970363617,1e-07,0.9511352181434631,0.8842173218727112,0.5133841037750244,0.1563454568386078,0.9400859475135803
36,0.9136580228805542,0.5275769829750061,0.13534140586853027,1e-08,0.9509020447731018,0.8843430280685425,0.5149139761924744,0.15629976987838745,0.9401169419288635
37,0.9137873649597168,0.5299059152603149,0.13595861196517944,1e-08,0.951123833656311,0.8845767378807068,0.511515736579895,0.15625546872615814,0.9401410818099976
38,0.9134824872016907,0.5303829908370972,0.13631311058998108,1e-08,0.9509912133216858,0.8841863870620728,0.5134106874465942,0.15641769766807556,0.9400928616523743
39,0.9139004349708557,0.5317801237106323,0.13519227504730225,1e-09,0.9511988759040833,0.8844004273414612,0.5147108435630798,0.1560172289609909,0.940159022808075
40,0.9136040210723877,0.5299463272094727,0.13546213507652283,1e-09,0.9509783983230591,0.8842737674713135,0.5128847360610962,0.1564149558544159,0.9400945901870728
41,0.9139089584350586,0.5305251479148865,0.1356317698955536,1e-09,0.9511617422103882,0.8841427564620972,0.5111117362976074,0.15676097571849823,0.9400561451911926
42,0.913493812084198,0.5290877819061279,0.13613444566726685,1e-09,0.9509448409080505,0.8843075633049011,0.5156072378158569,0.156138613820076,0.9401357173919678
43,0.913831353187561,0.5297641754150391,0.13518989086151123,9.9999994e-11,0.9511876106262207,0.8841851949691772,0.5113938450813293,0.15659338235855103,0.94008868932724
44,0.9142775535583496,0.5305554866790771,0.13493993878364563,9.9999994e-11,0.9512806534767151,0.8843030333518982,0.5141617655754089,0.15608453750610352,0.9401013851165771
45,0.9143303632736206,0.5293967127799988,0.13520842790603638,9.9999994e-11,0.9513342976570129,0.8843443393707275,0.5153738260269165,0.1561945378780365,0.940140426158905
46,0.9135664105415344,0.5311596989631653,0.13579127192497253,9.999999e-12,0.9509726166725159,0.8842079043388367,0.511946439743042,0.15673276782035828,0.9400749802589417
47,0.9145607352256775,0.5311942100524902,0.13395635783672333,9.999999e-12,0.9514707326889038,0.8844354152679443,0.5145456194877625,0.15612049400806427,0.9400611519813538
