epoch,io_u,io_u_1,loss,lr,sparse_categorical_accuracy,val_io_u,val_io_u_1,val_loss,val_sparse_categorical_accuracy
0,0.6670849919319153,0.07935186475515366,0.6542209982872009,1e-04,0.8329979777336121,0.7575677037239075,0.12576258182525635,0.5079883933067322,0.8764171600341797
1,0.7526678442955017,0.24372097849845886,0.5066700577735901,1e-04,0.875125527381897,0.7757819294929504,0.2944040298461914,0.46122875809669495,0.8843705654144287
2,0.7876046299934387,0.29011818766593933,0.4250395894050598,1e-04,0.8943730592727661,0.7858405709266663,0.3137170076370239,0.37756338715553284,0.8967941999435425
3,0.8033493161201477,0.3129086494445801,0.3714368939399719,1e-04,0.9027517437934875,0.7058714032173157,0.32398366928100586,0.3937370479106903,0.8743095993995667
4,0.8159216642379761,0.32775214314460754,0.3324374556541443,1e-04,0.909034788608551,0.8213324546813965,0.3481154143810272,0.2985343337059021,0.9121150374412537
5,0.8307320475578308,0.33858510851860046,0.30131807923316956,1e-04,0.9153822660446167,0.7956405878067017,0.2889292538166046,0.30371180176734924,0.903366208076477
6,0.8384116888046265,0.3432687520980835,0.27752867341041565,1e-04,0.9185139536857605,0.7220935821533203,0.36468449234962463,0.34466075897216797,0.8816697001457214
7,0.8462842702865601,0.3583954870700836,0.26186075806617737,1e-04,0.9222023487091064,0.7775142192840576,0.3591051995754242,0.2959374189376831,0.9004092812538147
8,0.8555946946144104,0.3687456548213959,0.24403399229049683,1e-04,0.9260318279266357,0.8337706923484802,0.37159717082977295,0.2438475638628006,0.9203240275382996
9,0.8601635694503784,0.3789002001285553,0.2329462319612503,1e-04,0.9280892014503479,0.8070354461669922,0.37244877219200134,0.25441262125968933,0.9096493721008301
10,0.8661442399024963,0.3872990012168884,0.2240099310874939,1e-04,0.9305336475372314,0.8438882827758789,0.398706316947937,0.22445134818553925,0.9240064024925232
11,0.8701912760734558,0.3939155340194702,0.21694518625736237,1e-04,0.9322547912597656,0.8661232590675354,0.35656434297561646,0.21130622923374176,0.9303807020187378
12,0.8776319622993469,0.40667206048965454,0.2046205997467041,1e-04,0.9354470372200012,0.851576030254364,0.4176614284515381,0.21434685587882996,0.9263756275177002
13,0.8798034191131592,0.41450005769729614,0.20210124552249908,1e-04,0.9365625381469727,0.872684895992279,0.4053333103656769,0.19841927289962769,0.9344123005867004
14,0.8785191774368286,0.41362637281417847,0.1988840401172638,1e-04,0.9362124800682068,0.8680849671363831,0.3814200162887573,0.20417319238185883,0.9321964979171753
15,0.8868706226348877,0.4202307164669037,0.19119076430797577,1e-04,0.9391046762466431,0.8857693672180176,0.4394933581352234,0.19196394085884094,0.938126266002655
16,0.8908980488777161,0.42906683683395386,0.18795984983444214,1e-04,0.9411237835884094,0.8613736033439636,0.43828392028808594,0.20387902855873108,0.9319424033164978
17,0.8958806991577148,0.4305933117866516,0.18003718554973602,1e-04,0.9427981376647949,0.8861576318740845,0.4366564154624939,0.18463312089443207,0.9398088455200195
18,0.8933464288711548,0.43992581963539124,0.1798424869775772,1e-04,0.9424185752868652,0.8563858866691589,0.44462448358535767,0.20870590209960938,0.9296371936798096
19,0.9008936882019043,0.4468826353549957,0.17175178229808807,1e-04,0.9452851414680481,0.8818599581718445,0.4393276274204254,0.1817733198404312,0.938224196434021
20,0.9035562872886658,0.44982585310935974,0.16748908162117004,1e-04,0.9461976885795593,0.8763175010681152,0.43219855427742004,0.18168950080871582,0.9366911053657532
