epoch,io_u_2,io_u_3,loss,lr,sparse_categorical_accuracy,val_io_u_2,val_io_u_3,val_loss,val_sparse_categorical_accuracy
10,0.7541289329528809,0.3058645725250244,0.30989670753479004,1e-04,0.883328914642334,0.7876861691474915,0.40583884716033936,0.28418460488319397,0.8947506546974182
11,0.8247632384300232,0.43382227420806885,0.23082192242145538,1e-04,0.9150726199150085,0.8294793963432312,0.474181592464447,0.22001446783542633,0.91515052318573
12,0.8474326729774475,0.4748101234436035,0.20340102910995483,1e-04,0.9249770045280457,0.8484670519828796,0.46819373965263367,0.18888573348522186,0.9271231293678284
13,0.8627458810806274,0.5025888681411743,0.18393932282924652,1e-04,0.9316896796226501,0.8635042905807495,0.48783373832702637,0.17214898765087128,0.9323768019676208
14,0.8628125190734863,0.5121752619743347,0.18250387907028198,1e-04,0.9321032166481018,0.8649521470069885,0.5039666891098022,0.17097805440425873,0.9321475625038147
15,0.8726765513420105,0.5272316932678223,0.1689685881137848,1e-04,0.9362555146217346,0.8673150539398193,0.5225898623466492,0.16560940444469452,0.9342779517173767
16,0.8846033811569214,0.5406888127326965,0.15482942759990692,1e-04,0.940981924533844,0.8177633285522461,0.45287182927131653,0.219989612698555,0.915973961353302
17,0.8800258636474609,0.5424461364746094,0.15882644057273865,1e-04,0.9394600987434387,0.8835940957069397,0.5477471351623535,0.14970719814300537,0.9397982954978943
18,0.8949930667877197,0.5635176301002502,0.1396491825580597,1e-04,0.9454674124717712,0.8808868527412415,0.5516613721847534,0.1539757251739502,0.9393343329429626
19,0.8943132162094116,0.5623863935470581,0.1398606151342392,1e-04,0.9453045725822449,0.8871954679489136,0.545800507068634,0.14464479684829712,0.9422903060913086
20,0.9003015160560608,0.5744946599006653,0.13353565335273743,1e-04,0.9477946162223816,0.8792052268981934,0.5662393569946289,0.1518699675798416,0.9404095411300659
21,0.8966167569160461,0.5751811265945435,0.13700838387012482,1e-04,0.9465128183364868,0.8773145079612732,0.5669806003570557,0.1510026752948761,0.9389786720275879
22,0.9050697684288025,0.5826395750045776,0.12626509368419647,1e-04,0.9497562050819397,0.8890790343284607,0.5380982756614685,0.14274732768535614,0.9425771832466125
23,0.9123353958129883,0.5927544236183167,0.11873744428157806,1e-04,0.9526068568229675,0.8819338083267212,0.523298442363739,0.1583702564239502,0.9391637444496155
24,0.9082345366477966,0.5902431607246399,0.12232198566198349,1e-04,0.9511629939079285,0.8968900442123413,0.5563673377037048,0.1355145126581192,0.9462003111839294
25,0.9165256023406982,0.6034445762634277,0.11133062094449997,1e-04,0.9543936252593994,0.8924260139465332,0.583121120929718,0.13951067626476288,0.9448148012161255
26,0.9103116989135742,0.5994219779968262,0.11932039260864258,1e-04,0.9521740078926086,0.8940779566764832,0.5622742772102356,0.13676461577415466,0.9449013471603394
27,0.9199069142341614,0.6087793707847595,0.10786887258291245,1e-04,0.9557880163192749,0.8955363631248474,0.5709289312362671,0.1369135081768036,0.9456035494804382
28,0.9296679496765137,0.6292505860328674,0.09490390121936798,1e-05,0.9598484635353088,0.90346759557724,0.6019176244735718,0.12698502838611603,0.9496420621871948
29,0.9335667490959167,0.6343062520027161,0.08984658122062683,1e-05,0.9613907337188721,0.9050461649894714,0.6053498387336731,0.12594421207904816,0.9500308632850647
30,0.9348601698875427,0.636695146560669,0.08927758038043976,1e-05,0.961840808391571,0.9048418402671814,0.604167640209198,0.12649868428707123,0.9500694870948792
31,0.9371772408485413,0.6388342976570129,0.08577552437782288,1e-05,0.9627335071563721,0.9061647057533264,0.6001152992248535,0.12657123804092407,0.9504921436309814
32,0.9385952353477478,0.6420872807502747,0.0837707668542862,1e-05,0.9633064866065979,0.9075199365615845,0.6091603636741638,0.1261167973279953,0.9511924982070923
33,0.9395266175270081,0.6447509527206421,0.08249790966510773,1e-06,0.9637805223464966,0.9072617888450623,0.6057409644126892,0.12680348753929138,0.9509763717651367
34,0.9397559762001038,0.6442570686340332,0.0823788270354271,1e-06,0.9637361168861389,0.9072640538215637,0.6096628904342651,0.1266939789056778,0.9510831236839294
35,0.9401931762695312,0.6459149122238159,0.08146554976701736,1e-06,0.9640281200408936,0.9071298837661743,0.6045985221862793,0.12771181762218475,0.9509245753288269
36,0.9405766725540161,0.6448469161987305,0.08154334127902985,1e-07,0.9640556573867798,0.9072508215904236,0.6047046780586243,0.12744766473770142,0.9509409070014954
37,0.9401205778121948,0.6472374796867371,0.08149541169404984,1e-07,0.9640140533447266,0.907060980796814,0.6017867922782898,0.12801939249038696,0.9507693648338318
38,0.940132200717926,0.6448916792869568,0.08179415762424469,1e-07,0.963914692401886,0.9070636034011841,0.6052978038787842,0.12728917598724365,0.9509180784225464
39,0.9405270218849182,0.6461392641067505,0.08129656314849854,1e-08,0.9640756845474243,0.9071457982063293,0.605735719203949,0.1281965672969818,0.9509661793708801
